Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1737345138237,1600,1600,1600,1600,0,0,0,0,64660.678161621094,91028.8930053711,240120.59606933594,0,0,6758400,15785984,33610452992,34317791232,3797401600,2895872
199,1737345138238,1600,1600,1600,1600,0,0,0,0,64660.700744628906,91028.9741821289,240120.63830566406,0,0,6758400,15785984,33610452992,34317791232,3797401600,2895872
199,1737345138438,1600,1600,1600,1600,0,0,0,0,64661.36065673828,91030.76184082031,240121.2120361328,0,0,6758400,15785984,33610452992,34317791232,3802161152,2895872
199,1737345138638,1600,1600,1600,1600,0,0,0,0,64662.05389404297,91032.78259277344,240121.9691772461,0,60.79999923706055,6758400,15785984,33610452992,34317791232,3798982656,2895872
199,1737345138838,1600,1600,1600,1600,0,0,0,0,64662.70343017578,91034.52801513672,240122.5096435547,0,50.955413818359375,6758400,15785984,33610452992,34317791232,3797987328,2895872
199,1737345139038,1599,1600,1600,1600,0,0,0,0,64663.353088378906,91036.29504394531,240123.05670166016,0,50.955413818359375,6758400,15785984,33610452992,34317791232,3805069312,2895872
199,1737345139238,1600,1600,1600,1600,100,5.263157844543457,5,5,64664.00439453125,91037.99285888672,240123.57495117188,0,101.26582336425781,6758400,15785984,33610452992,34317791232,3819069440,2895872
199,1737345139438,1600,1600,1600,1600,100,5.263157844543457,5,5,64664.65447998047,91039.70721435547,240124.0994873047,0,100,6758400,15785984,33610452992,34317791232,3855712256,2895872
199,1737345139638,1599,1600,1600,1600,100,5.263157844543457,5,5,64665.310546875,91041.40985107422,240124.6171875,0,50.955413818359375,6758400,15785984,33610452992,34317791232,3886419968,2895872
199,1737345139838,1600,1600,1600,1600,100,5.263157844543457,5,5,64666.01184082031,91043.31634521484,240125.302734375,0,100,6758400,15785984,33610452992,34317791232,3917127680,2895872
199,1737345140038,1599,1600,1600,1600,100,5.263157844543457,5,5,64666.68829345703,91045.10760498047,240125.9190673828,0,95,6758400,15785984,33610452992,34317791232,3945254912,2895872
199,1737345140238,1600,1600,1600,1600,100,5.263157844543457,5,5,64667.35388183594,91046.82452392578,240126.4334716797,0,50.632911682128906,6758400,15785984,33610452992,34317791232,3975737344,2895872
199,1737345140438,1600,1600,1600,1600,100,5.263157844543457,5,5,64668.012451171875,91048.53875732422,240126.96588134766,0,104.99999237060547,6758400,15785984,33610452992,34317791232,4004896768,2895872
199,1737345140638,1599,1600,1600,1600,100,5.263157844543457,5,5,64668.650451660156,91050.17156982422,240127.46411132813,0,95,6758400,15785984,33610452992,34317791232,4032507904,2895872
199,1737345140839,1600,1600,1600,1600,100,5.263157844543457,5,5,64669.32647705078,91051.84478759766,240127.95684814453,0,48.71794891357422,6758400,15785984,33610452992,34317791232,4074536960,2895872
199,1737345141039,1600,1600,1600,1600,100,5.263157844543457,5,5,64670.14666748047,91053.42456054688,240128.34838867188,0,106.32911682128906,6758400,15785984,33610452992,34317791232,4188336128,2895872
199,1737345141239,1600,1600,1600,1600,100,5.263157844543457,5,5,64670.964782714844,91054.99249267578,240128.7310180664,0,100,6758400,15785984,33610452992,34317791232,4302651392,2895872
199,1737345141439,1599,1600,1600,1600,100,2.764976978302002,5.529953956604004,6.94444465637207,64672.06970214844,91056.65209960938,240129.13201904297,0,100,6758400,15785984,33610452992,34317791232,4208238592,2895872
199,1737345141639,1599,1600,1600,1600,100,0,0,5,64672.70233154297,91058.18627929688,240129.56085205078,0,96.2025375366211,6758400,15785984,33610452992,34317791232,4167950336,2895872
199,1737345141839,1600,1600,1600,1600,100,0,0,5,64673.32354736328,91059.6953125,240129.97540283203,0,100,6758400,15785984,33610452992,34317791232,4167950336,2895872
200,1737345142039,1599,1600,1600,1600,100,0,0,5,64673.94580078125,91061.21197509766,240130.39324951172,0,50.632911682128906,6758400,15785984,33610452992,34317791232,4167950336,2895872
199,1737345142239,1599,1600,1600,1600,100,1.6949152946472168,1.6949152946472168,1.6949152946472168,64674.56512451172,91062.7162475586,240130.80206298828,0,50.632911682128906,6758400,15785984,33610452992,34317791232,4167950336,2895872
200,1737345142439,1599,1600,1600,1600,100,0,5,0,64675.18505859375,91064.21649169922,240131.20916748047,0,100,6758400,15785984,33610452992,34317791232,4167950336,2895872
