Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1736579502013,1400,1399,1399,1399,1400,1399,1400,1399,1399,1400,1399,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,210729.326171875,95673.55065917969,153.1146240234375,0,4849664,11878400,33210380288,8589930496,1227386880,0
200,1736579502013,1399,1400,1399,1399,1400,1400,1400,1400,1399,1399,1399,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,210729.34967041016,95673.56408691406,153.1146240234375,0,4849664,11878400,33210380288,8589930496,1228161024,0
199,1736579502213,2100,2100,1477,1500,2034,2100,1438,1500,1499,1499,1461,400,0,0,0,0,0,0,0,0,0,0,0,0,0,210730.9828491211,95674.39392089844,153.1146240234375,0,4849664,11878400,33210380288,8589930496,1230815232,0
200,1736579502413,2099,2035,1403,1407,2020,1989,1420,1395,1395,1453,1285,1435,0,0,0,0,0,0,0,0,0,0,0,0,0,210732.53454589844,95675.17376708984,153.1146240234375,70.15384674072266,4849664,11878400,33210380288,8589930496,1237995520,0
200,1736579502613,2100,2100,878,1402,548,1775,1500,1459,1414,1500,400,826,0,0,0,0,0,0,0,0,0,0,0,0,0,210734.10217285156,95675.93334960938,153.1146240234375,50.52631378173828,4849664,11878400,33210380288,8589930496,1303330816,0
200,1736579502814,2100,2100,1158,1381,485,1510,1330,1384,1372,400,1359,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,210735.6671142578,95676.68353271484,153.1146240234375,50.52631378173828,4849664,11878400,33210380288,8589930496,1389256704,0
200,1736579503014,2099,2100,400,400,1482,1808,1192,1479,906,400,400,400,100,5.263157844543457,0,0,4.761904716491699,0,0,0,0,0,0,0,0,210737.21356201172,95677.44915771484,153.1146240234375,100.84033203125,4849664,11878400,33210380288,8589930496,1474412544,0
200,1736579503214,2100,2000,1441,1499,2100,1735,1450,1443,1500,1482,1443,1457,100,0,0,0,10,0,4.761904716491699,4.761904716491699,0,0,0,0,0,210738.76971435547,95678.18334960938,153.1146240234375,106.32911682128906,4849664,11878400,33210380288,8589930496,1583824896,0
200,1736579503414,2100,494,1499,400,400,1312,1362,1422,1360,1366,1477,1384,100,0,4.761904716491699,0,0,0,0,0,0,4.761904716491699,5,0,0,210740.3120727539,95678.81823730469,153.1146240234375,99.58505249023438,4849664,11878400,33210380288,8589930496,1769103360,0
200,1736579503614,2100,1507,1090,400,1966,1902,1500,1352,1420,1443,934,1341,100,0,4.761904716491699,0,0,0,0,0,0,4.761904716491699,5,0,0,210741.91442871094,95679.45294189453,153.1146240234375,100.41841125488281,4849664,11878400,33210380288,8589930496,1649946624,0
