Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1736762035401,1600,1599,1599,1600,0,0,0,0,8172.0726318359375,57737.87683105469,158263.25909423828,0,0,954368,8568832,33610452992,34317791232,3743211520,2371584
200,1736762035402,1600,1599,1599,1600,0,0,0,0,8172.0869140625,57737.92858886719,158263.28509521484,0,0,954368,8568832,33610452992,34317791232,3743211520,2371584
199,1736762035602,1600,1600,1600,1600,0,0,0,0,8172.756164550781,57739.5087890625,158263.74249267578,0,0,954368,8568832,33610452992,34317791232,3742380032,2371584
199,1736762035802,1600,1600,1600,1600,0,0,0,0,8173.426574707031,57741.27764892578,158264.35552978516,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762036002,1600,1600,1600,1600,0,0,0,0,8174.049072265625,57742.841247558594,158264.80444335938,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762036202,1600,1600,1600,1600,0,0,0,0,8174.6695556640625,57744.360412597656,158265.22583007813,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762036402,1599,1600,1600,1600,0,0,0,0,8175.297058105469,57745.895446777344,158265.65100097656,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
200,1736762036602,1600,1600,1600,1600,0,0,0,0,8175.9119873046875,57747.407775878906,158266.07556152344,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762036802,1600,1600,1600,1600,0,0,0,0,8176.532958984375,57748.93182373047,158266.50079345703,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762037002,1600,1600,1600,1600,0,0,0,0,8177.155700683594,57750.521057128906,158266.9676513672,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
200,1736762037202,1599,1600,1600,1600,0,0,0,0,8177.7763671875,57752.06408691406,158267.40521240234,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762037402,1600,1600,1600,1600,0,0,0,0,8178.396057128906,57753.57897949219,158267.82446289063,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762037602,1600,1600,1600,1600,0,0,0,0,8179.024658203125,57755.154052734375,158268.2905883789,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762037803,1600,1600,1600,1600,0,0,0,0,8179.6500244140625,57756.69073486328,158268.71710205078,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
200,1736762038003,1599,1600,1600,1600,0,0,0,0,8180.267822265625,57758.231689453125,158269.16204833984,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
200,1736762038203,1600,1600,1600,1600,0,0,0,0,8180.887512207031,57759.74035644531,158269.58026123047,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
200,1736762038403,1599,1600,1600,1600,0,0,0,0,8181.507507324219,57761.25128173828,158270.00030517578,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762038603,1599,1600,1600,1600,0,0,0,0,8182.1278076171875,57762.765563964844,158270.42169189453,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762038803,1600,1600,1600,1600,0,0,0,0,8182.761657714844,57764.325927734375,158270.86755371094,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
200,1736762039003,1600,1600,1600,1600,0,0,0,0,8183.37646484375,57765.8544921875,158271.30212402344,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762039203,1599,1600,1600,1600,0,0,0,0,8183.99609375,57767.36163330078,158271.7178955078,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762039403,1599,1600,1600,1600,0,0,0,0,8184.615661621094,57768.87365722656,158272.13745117188,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762039603,1600,1600,1600,1600,0,0,0,0,8185.23583984375,57770.386169433594,158272.55908203125,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
200,1736762039803,1599,1600,1600,1600,0,0,0,0,8185.859375,57771.911071777344,158272.98516845703,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762040004,1600,1600,1600,1600,0,0,0,0,8186.479797363281,57773.446838378906,158273.42407226563,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762040204,1599,1600,1600,1600,0,0,0,0,8187.0997314453125,57774.95690917969,158273.84173583984,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
200,1736762040404,1599,1600,1600,1600,0,0,0,0,8187.720458984375,57776.472900390625,158274.26495361328,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762040604,1599,1600,1600,1600,0,0,0,0,8188.3406982421875,57777.98742675781,158274.68743896484,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762040804,1600,1600,1600,1600,0,0,0,0,8188.961181640625,57779.505126953125,158275.11016845703,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762041004,1600,1600,1600,1600,0,0,0,0,8189.58251953125,57781.072814941406,158275.56005859375,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762041204,1599,1600,1600,1600,0,0,0,0,8190.2100830078125,57782.627197265625,158276.00549316406,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
199,1736762041404,1600,1600,1600,1600,99.01477813720703,3.7891268730163574,4.95049524307251,3.966942071914673,8190.830261230469,57784.14727783203,158276.42907714844,0,0,954368,8568832,33610452992,34317791232,3742638080,2371584
