Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1736487130974,1600,1600,1600,1600,0,0,0,0,165907.8780517578,196954.43853759766,173107.28582763672,0,0,4026368,141672448,33610452992,34317791232,1182142464,0
199,1736487130974,1600,1600,1600,1600,0,0,0,0,165907.89385986328,196954.49481201172,173107.3155517578,0,0,4026368,141672448,33610452992,34317791232,1181466624,0
199,1736487131174,1599,1600,1600,1600,0,0,0,0,165908.60052490234,196956.27667236328,173107.92822265625,0,14.598539352416992,4026368,141672448,33610452992,34317791232,1175941120,0
199,1736487131374,1600,1600,1600,1600,0,0,0,0,165909.22039794922,196957.74310302734,173108.31176757813,0,0,4026368,141672448,33610452992,34317791232,1175941120,0
199,1736487131574,1600,1600,1600,1600,0,0,0,0,165909.83917236328,196959.21166992188,173108.69329833984,0,0,4026368,141672448,33610452992,34317791232,1175977984,0
199,1736487131774,1599,1600,1600,1600,88.2978744506836,7.526882171630859,11.827957153320313,5.263157844543457,165910.45971679688,196960.73175048828,173109.1063232422,0,0,4026368,141672448,33610452992,34317791232,1175977984,0
199,1736487131974,1600,1600,1600,1600,100,4.761904716491699,5,0,165911.0780029297,196962.1982421875,173109.48754882813,0,0,4026368,141672448,33610452992,34317791232,1175977984,0
199,1736487132175,1599,1600,1600,1600,100,0,0,4.761904716491699,165911.69940185547,196963.67071533203,173109.8653564453,0,0,4026368,141672448,33610452992,34317791232,1175977984,0
199,1736487132375,1599,1600,1600,1600,100,0,4.761904716491699,0,165912.31842041016,196965.1351928711,173110.25268554688,0,0,4026368,141672448,33610452992,34317791232,1175977984,0
199,1736487132575,1600,1600,1600,1600,100,0,4.761904716491699,0,165912.9370727539,196966.60675048828,173110.63415527344,0,0,4026368,141672448,33610452992,34317791232,1175793664,0
199,1736487132775,1599,1600,1600,1600,100,4.761904716491699,0,0,165913.55535888672,196968.07098388672,173111.01293945313,0,0,4026368,141672448,33610452992,34317791232,1175793664,0
