Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1737100187506,1600,1600,1600,1600,0,0,0,0,56259.421630859375,117218.58093261719,15832.054382324219,0,0,5566464,14737408,33610452992,34317791232,3761217536,2895872
199,1737100187507,1600,1600,1600,1600,0,0,0,0,56259.440856933594,117218.64971923828,15832.090393066406,0,0,5566464,14737408,33610452992,34317791232,3761217536,2895872
199,1737100187707,1599,1600,1600,1600,0,0,0,0,56260.0673828125,117220.17565917969,15832.50732421875,0,0,5566464,14737408,33610452992,34317791232,3761217536,2895872
199,1737100187907,1600,1600,1600,1600,0,0,0,0,56260.77362060547,117222.45397949219,15833.536437988281,0,97.56097412109375,5566464,14737408,33610452992,34317791232,3763281920,2895872
199,1737100188107,1600,1600,1600,1600,0,0,0,0,56261.39416503906,117224.56805419922,15834.445739746094,0,97.56097412109375,5566464,14737408,33610452992,34317791232,3763281920,2895872
199,1737100188307,1599,1600,1600,1600,0,0,0,0,56262.01525878906,117226.09289550781,15834.87353515625,0,50,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100188507,1600,1600,1600,1600,95.412841796875,25.454544067382813,18.18181800842285,26.363636016845703,56262.63513183594,117227.63708496094,15835.31494140625,0,50,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100188707,1600,1600,1600,1600,100,0,0,0,56263.25506591797,117229.1591796875,15835.740417480469,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100188907,1599,1600,1600,1600,100,0,5,0,56263.87548828125,117230.68420410156,15836.170227050781,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100189107,1600,1600,1600,1600,100,0,0,5,56264.49542236328,117232.19854736328,15836.592651367188,0,101.26582336425781,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100189307,1600,1600,1600,1600,100,5,5,0,56265.114318847656,117233.71179199219,15837.014343261719,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100189507,1599,1600,1600,1600,100,5,5,0,56265.73449707031,117235.26568603516,15837.461791992188,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100189707,1600,1600,1600,1600,100,5,4.761904716491699,0,56266.353515625,117236.77941894531,15837.883178710938,0,101.26582336425781,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100189908,1599,1600,1600,1600,100,4.761904716491699,0,4.761904716491699,56266.97247314453,117238.29113769531,15838.304565429688,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100190108,1600,1600,1600,1600,100,0,0,0,56267.59210205078,117239.81463623047,15838.731628417969,0,101.26582336425781,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100190308,1600,1600,1600,1600,100,0,5,4.761904716491699,56268.211364746094,117241.33917236328,15839.158630371094,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100190508,1599,1600,1600,1600,100,5,5,5,56268.838317871094,117242.92010498047,15839.626098632813,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100190708,1600,1600,1600,1600,100,5,5,5,56269.458068847656,117244.43298339844,15840.048828125,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100190908,1599,1600,1600,1600,100,0,0,5,56270.077392578125,117245.9462890625,15840.47021484375,0,98.76543426513672,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100191108,1599,1600,1600,1600,100,4.761904716491699,5,4.761904716491699,56270.697692871094,117247.4663696289,15840.895874023438,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100191308,1600,1600,1600,1600,100,5,0,0,56271.316955566406,117248.97912597656,15841.319580078125,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100191508,1600,1600,1600,1600,100,0,4.761904716491699,4.761904716491699,56271.938049316406,117250.53338623047,15841.769714355469,0,101.26582336425781,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100191708,1599,1600,1600,1600,100,0,0,0,56272.557861328125,117252.04559326172,15842.192932128906,0,101.26582336425781,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100191908,1600,1600,1600,1600,100,0,0,5,56273.176818847656,117253.55163574219,15842.611145019531,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100192109,1599,1600,1600,1600,100,4.761904716491699,0,0,56273.79650878906,117255.07067871094,15843.035827636719,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100192309,1599,1600,1600,1600,100,4.761904716491699,0,0,56274.41552734375,117256.58093261719,15843.456481933594,0,102.5641098022461,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100192509,1600,1600,1600,1600,100,0,0,9.090909004211426,56275.035217285156,117258.12823486328,15843.901123046875,0,98.76543426513672,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100192709,1599,1600,1600,1600,100,5,4.761904716491699,0,56275.658142089844,117259.66223144531,15844.333923339844,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100192909,1600,1600,1600,1600,100,0,5,0,56276.276794433594,117261.17321777344,15844.75341796875,0,101.26582336425781,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100193109,1599,1600,1600,1600,100,0,0,4.761904716491699,56276.89617919922,117262.68432617188,15845.175720214844,0,98.76543426513672,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100193309,1599,1600,1600,1600,100,4.761904716491699,0,5,56277.51593017578,117264.19561767578,15845.597290039063,0,101.26582336425781,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100193509,1600,1600,1600,1600,100,4.761904716491699,5,5,56278.13555908203,117265.73815917969,15846.037902832031,0,98.76543426513672,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100193709,1600,1600,1600,1600,100,4.761904716491699,5,5,56278.75500488281,117267.25573730469,15846.462219238281,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100193909,1600,1600,1600,1600,100,5,5,5,56279.37353515625,117268.76556396484,15846.880554199219,0,97.56097412109375,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100194109,1599,1600,1600,1600,100,0,5,0,56279.993103027344,117270.28594970703,15847.306396484375,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100194309,1600,1600,1600,1600,100,4.761904716491699,0,0,56280.611877441406,117271.79760742188,15847.726501464844,0,101.26582336425781,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100194510,1599,1600,1600,1600,100,5,0,5,56281.231506347656,117273.34252929688,15848.167663574219,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100194710,1600,1600,1600,1600,100,0,4.761904716491699,4.761904716491699,56281.85412597656,117274.87310791016,15848.593688964844,0,101.26582336425781,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100194910,1600,1600,1600,1600,100,0,4.761904716491699,4.761904716491699,56282.472900390625,117276.38458251953,15849.020629882813,0,98.76543426513672,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100195110,1599,1600,1600,1600,100,0,0,0,56283.09216308594,117277.92248535156,15849.453247070313,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100195310,1599,1600,1600,1600,100,9.523809432983398,0,0,56283.710998535156,117279.43640136719,15849.875,0,98.76543426513672,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100195510,1599,1600,1600,1600,100,5,0,5,56284.332458496094,117280.98114013672,15850.321533203125,0,102.5641098022461,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100195710,1599,1600,1600,1600,100,4.761904716491699,4.761904716491699,5,56284.95227050781,117282.49890136719,15850.747497558594,0,98.76543426513672,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100195910,1600,1600,1600,1600,100,0,4.761904716491699,0,56285.571228027344,117284.00555419922,15851.166687011719,0,101.26582336425781,5566464,14737408,33610452992,34317791232,3763277824,2895872
199,1737100196111,1599,1600,1600,1600,100,0,0,0,56286.194274902344,117285.54370117188,15851.599060058594,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100196310,1599,1600,1600,1600,100,0,0,0,56286.810119628906,117287.04779052734,15852.016540527344,0,100,5566464,14737408,33610452992,34317791232,3763277824,2895872
200,1737100196510,1600,1600,1600,1600,100,0,0,0,56287.42987060547,117288.61297607422,15852.467895507813,0,50.632911682128906,5566464,14737408,33610452992,34317791232,3763277824,2895872
