Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1736871916138,1400,1400,1399,1399,1399,1400,1399,1400,1399,1400,1399,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,23504.07305908203,92715.00427246094,169.04302978515625,0,4063232,66387968,33210380288,8589930496,1241743360,0
200,1736871916138,1467,1494,1400,1399,1524,1489,1400,1399,1399,1399,1399,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,23504.093994140625,92715.01629638672,169.04302978515625,0,4063232,66387968,33210380288,8589930496,1243807744,0
200,1736871916338,2100,2100,1500,1367,400,1806,1500,1500,865,1406,400,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,23505.492614746094,92715.61206054688,169.04302978515625,0,4063232,66387968,33210380288,8589930496,1259995136,0
200,1736871916538,2100,2100,1390,1390,1579,1836,1486,1422,1431,1478,1389,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,23506.69256591797,92716.06530761719,169.04302978515625,99.1735610961914,4063232,66387968,33210380288,8589930496,1259995136,0
200,1736871916738,2100,1873,1465,1461,1978,2100,400,1466,1500,1499,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,23507.84375,92716.4736328125,169.04302978515625,99.1735610961914,4063232,66387968,33210380288,8589930496,1259995136,0
200,1736871916938,2099,1995,1377,1431,1766,1953,1388,1469,1471,1418,1428,1439,100,5,0,0,0,4.761904716491699,0,0,0,0,0,0,0,23509.126892089844,92716.99145507813,169.04376220703125,100.84033203125,4063232,66387968,33210380288,8589930496,1259995136,0
200,1736871917139,2100,2100,1453,1457,1944,1844,1393,1397,1349,1362,1388,1483,100,5,0,0,0,4.761904716491699,0,0,0,0,0,0,0,23510.597106933594,92717.69213867188,169.04376220703125,100,4063232,66387968,33210380288,8589930496,1260253184,0
200,1736871917339,2100,1671,1327,1352,1946,1702,1454,1350,1466,1499,1261,1445,100,5,0,0,0,4.761904716491699,0,0,0,0,0,0,0,23512.059936523438,92718.39141845703,169.04376220703125,50.31446838378906,4063232,66387968,33210380288,8589930496,1260253184,0
200,1736871917539,2100,1619,1263,1314,400,1883,1283,1327,916,1178,1199,1136,100,5,0,0,0,4.761904716491699,0,0,0,0,0,0,0,23513.29248046875,92718.87371826172,169.04376220703125,99.58505249023438,4063232,66387968,33210380288,8589930496,1260253184,0
200,1736871917739,2100,2100,1036,1276,2100,1744,1448,1133,1231,1477,1499,843,100,5,0,0,0,4.761904716491699,0,0,0,0,0,0,0,23514.453186035156,92719.28601074219,169.04376220703125,100,4063232,66387968,33210380288,8589930496,1260253184,0
