Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1736544105701,1400,1387,1376,1379,1387,1390,1380,1382,1380,1382,1378,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,240247.74920654297,260702.88830566406,151.1744384765625,0,0,421888,33210380288,8589930496,1253539840,0
200,1736544105701,1400,1400,1361,1363,1400,1355,1400,1400,1400,1399,1370,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,240247.76586914063,260702.89739990234,151.1744384765625,0,0,421888,33210380288,8589930496,1253539840,0
200,1736544105901,2100,522,1275,400,400,1755,1173,1166,1255,1302,1410,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,240249.14770507813,260703.5057373047,151.1744384765625,0,0,421888,33210380288,8589930496,1253810176,0
200,1736544106102,2100,2099,400,400,2100,400,1445,1499,1426,1259,1371,1427,0,0,0,0,0,0,0,0,0,0,0,0,0,240250.4536743164,260704.06280517578,151.1744384765625,100,0,421888,33210380288,8589930496,1253810176,0
200,1736544106302,2100,2035,1399,1384,1824,1912,1250,1295,1286,1291,1344,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,240251.74041748047,260704.60760498047,151.1744384765625,100,0,421888,33210380288,8589930496,1253810176,0
200,1736544106502,2100,1365,1260,1410,1871,1874,534,1292,1396,1500,1410,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,240253.04028320313,260705.16290283203,151.1744384765625,50.10437774658203,0,421888,33210380288,8589930496,1253810176,0
200,1736544106702,2100,1843,566,1500,1967,2100,1499,1464,1431,1499,1464,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,240254.34301757813,260705.7188720703,151.1744384765625,100,0,421888,33210380288,8589930496,1251975168,0
200,1736544106902,2100,2003,1476,400,2100,1956,1482,1436,1481,1464,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,240255.62420654297,260706.25854492188,151.1744384765625,100,0,421888,33210380288,8589930496,1251975168,0
200,1736544107102,2100,2059,1426,1445,2100,1902,1435,1393,1469,1480,1284,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,240256.91369628906,260706.80303955078,151.1744384765625,50.209205627441406,0,421888,33210380288,8589930496,1251975168,0
200,1736544107302,2100,2061,1473,1499,1863,1758,1477,1500,400,1154,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,240258.23260498047,260707.36712646484,151.1744384765625,100.41841125488281,0,421888,33210380288,8589930496,1251975168,0
