Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1737302151178,1600,1600,1600,1600,0,0,0,0,187382.74047851563,35862.35900878906,154230.4744873047,0,0,1007616,8568832,33610452992,34317791232,3780026368,2895872
200,1737302151178,1600,1600,1600,1600,0,0,0,0,187382.75946044922,35862.42810058594,154230.51068115234,0,0,1007616,8568832,33610452992,34317791232,3780026368,2895872
199,1737302151379,1600,1600,1600,1600,0,0,0,0,187383.44061279297,35864.310607910156,154231.20416259766,0,0,1007616,8568832,33610452992,34317791232,3781312512,2895872
200,1737302151579,1600,1600,1600,1600,0,0,0,0,187384.0625,35865.83947753906,154231.6244506836,0,60.60606384277344,1007616,8568832,33610452992,34317791232,3781312512,2895872
200,1737302151779,1600,1600,1600,1600,83.33332824707031,11.111111640930176,11.538461685180664,22.641510009765625,187384.6830444336,35867.358154296875,154232.05114746094,0,98.76543426513672,1007616,8568832,33610452992,34317791232,3781312512,2895872
200,1737302151979,1600,1600,1600,1600,100,0,0,0,187385.30340576172,35868.87908935547,154232.47326660156,0,101.26582336425781,1007616,8568832,33610452992,34317791232,3781312512,2895872
200,1737302152179,1599,1600,1600,1600,100,5,5,0,187385.92254638672,35870.39422607422,154232.89038085938,0,101.26582336425781,1007616,8568832,33610452992,34317791232,3781312512,2895872
199,1737302152379,1600,1600,1600,1600,100,5,5,0,187386.5478515625,35871.96826171875,154233.34503173828,0,50.632911682128906,1007616,8568832,33610452992,34317791232,3781312512,2895872
200,1737302152579,1600,1600,1600,1600,100,1.6949152946472168,1.6949152946472168,3.3333334922790527,187387.16998291016,35873.50701904297,154233.77752685547,0,50.632911682128906,1007616,8568832,33610452992,34317791232,3781312512,2895872
200,1737302152779,1599,1600,1600,1600,100,1.6949152946472168,1.6949152946472168,3.3333334922790527,187387.791015625,35875.024353027344,154234.19696044922,0,100,1007616,8568832,33610452992,34317791232,3781308416,2895872
200,1737302152979,1600,1600,1600,1600,100,0,5,4.761904716491699,187388.41052246094,35876.559509277344,154234.62237548828,0,100,1007616,8568832,33610452992,34317791232,3781308416,2895872
200,1737302153179,1599,1600,1600,1600,100,0,0,0,187389.02935791016,35878.070861816406,154235.03747558594,0,101.26582336425781,1007616,8568832,33610452992,34317791232,3781308416,2895872
199,1737302153379,1600,1600,1600,1600,100,5,9.523809432983398,5,187389.6541748047,35879.645568847656,154235.49237060547,0,100,1007616,8568832,33610452992,34317791232,3781308416,2895872
200,1737302153579,1599,1600,1600,1600,100,0,0,0,187390.2749633789,35881.1708984375,154235.91632080078,0,101.26582336425781,1007616,8568832,33610452992,34317791232,3781308416,2895872
