Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1737167842444,1600,1600,1600,1600,0,0,0,0,13278.51806640625,93053.03436279297,150380.70440673828,0,0,6365184,14737408,33610452992,34317791232,3756601344,2895872
200,1737167842444,1600,1600,1600,1600,0,0,0,0,13278.536499023438,93053.10369873047,150380.74090576172,0,0,6365184,14737408,33610452992,34317791232,3756601344,2895872
199,1737167842644,1600,1600,1600,1600,0,0,0,0,13279.19775390625,93054.83123779297,150381.26831054688,0,0,6365184,14737408,33610452992,34317791232,3753607168,2895872
199,1737167842844,1599,1600,1600,1600,0,0,0,0,13279.907043457031,93056.88385009766,150382.0526123047,0,106.32911682128906,6365184,14737408,33610452992,34317791232,3755769856,2895872
199,1737167843044,1600,1600,1600,1600,0,0,0,0,13280.5595703125,93058.66680908203,150382.6137084961,0,101.26582336425781,6365184,14737408,33610452992,34317791232,3749679104,2895872
199,1737167843244,1599,1600,1600,1600,0,0,0,0,13281.202331542969,93060.40417480469,150383.14849853516,0,48.40764236450195,6365184,14737408,33610452992,34317791232,3752116224,2895872
199,1737167843444,1600,1600,1600,1600,0,0,0,0,13281.855773925781,93062.10638427734,150383.65966796875,0,98.76543426513672,6365184,14737408,33610452992,34317791232,3777753088,2895872
199,1737167843645,1600,1600,1600,1600,98.47328186035156,10.852713584899902,16,7.8125,13282.510803222656,93063.80108642578,150384.16497802734,0,93.82715606689453,6365184,14737408,33610452992,34317791232,3808493568,2895872
199,1737167843845,1599,1600,1600,1600,100,9.523809432983398,9.090909004211426,9.523809432983398,13283.165344238281,93065.5140991211,150384.68103027344,0,104.99999237060547,6365184,14737408,33610452992,34317791232,3839426560,2895872
199,1737167844045,1600,1600,1600,1600,100,10,5.263157844543457,5,13283.820678710938,93067.26513671875,150385.22009277344,0,96.38554382324219,6365184,14737408,33610452992,34317791232,3870908416,2895872
199,1737167844245,1599,1600,1600,1600,100,10,5.263157844543457,5,13284.4736328125,93068.94073486328,150385.71697998047,0,101.26582336425781,6365184,14737408,33610452992,34317791232,3901616128,2895872
199,1737167844445,1600,1600,1600,1600,100,10,5.263157844543457,5,13285.127075195313,93070.62115478516,150386.2091064453,0,50,6365184,14737408,33610452992,34317791232,3932323840,2895872
199,1737167844645,1599,1600,1600,1600,100,3.3898305892944336,3.3333334922790527,5,13285.781311035156,93072.32147216797,150386.7173461914,0,47.5,6365184,14737408,33610452992,34317791232,3963031552,2895872
199,1737167844845,1600,1600,1600,1600,100,5,0,0,13286.445495605469,93074.03997802734,150387.24114990234,0,102.5641098022461,6365184,14737408,33610452992,34317791232,3994513408,2895872
200,1737167845045,1599,1600,1600,1600,100,5,0,0,13287.19482421875,93075.67840576172,150387.69244384766,0,98.76543426513672,6365184,14737408,33610452992,34317791232,4074766336,2895872
200,1737167845245,1600,1600,1600,1600,100,5,0,0,13288.013977050781,93077.24505615234,150388.0723876953,0,50.632911682128906,6365184,14737408,33610452992,34317791232,4188307456,2895872
199,1737167845445,1599,1600,1600,1600,100,5,0,0,13288.946655273438,93078.83947753906,150388.4521484375,0,98.76543426513672,6365184,14737408,33610452992,34317791232,4318621696,2895872
199,1737167845645,1600,1600,1600,1600,100,5,0,0,13289.886779785156,93080.49645996094,150388.88677978516,0,101.26582336425781,6365184,14737408,33610452992,34317791232,4117176320,2895872
199,1737167845845,1600,1600,1600,1600,100,5,0,0,13290.505798339844,93082.00109863281,150389.30541992188,0,101.26582336425781,6365184,14737408,33610452992,34317791232,4117176320,2895872
199,1737167846046,1599,1600,1600,1600,100,5,0,0,13291.127075195313,93083.54132080078,150389.7364501953,0,50,6365184,14737408,33610452992,34317791232,4117176320,2895872
200,1737167846246,1599,1600,1600,1600,100,2.8776979446411133,3.5971224308013916,3.5714287757873535,13291.746276855469,93085.0347290039,150390.13995361328,0,50,6365184,14737408,33610452992,34317791232,4117176320,2895872
