Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1737273626686,1600,1600,1600,1600,0,0,0,0,96841.21325683594,86825.47570800781,97020.59478759766,0,0,950272,8568832,33610452992,34317791232,3769700352,2895872
200,1737273626686,1600,1600,1600,1600,0,0,0,0,96841.232421875,86825.54602050781,97020.6318359375,0,0,950272,8568832,33610452992,34317791232,3769700352,2895872
199,1737273626886,1599,1600,1600,1600,0,0,0,0,96841.88537597656,86827.25256347656,97021.1792602539,0,0,950272,8568832,33610452992,34317791232,3769692160,2895872
199,1737273627086,1600,1600,1600,1600,0,0,0,0,96842.53747558594,86828.97589111328,97021.75885009766,0,62.0155029296875,950272,8568832,33610452992,34317791232,3769692160,2895872
199,1737273627287,1599,1600,1600,1600,0,0,0,0,96843.16345214844,86830.53039550781,97022.19787597656,0,50.632911682128906,950272,8568832,33610452992,34317791232,3769692160,2895872
199,1737273627487,1600,1600,1600,1600,94.6236572265625,9.89011001586914,15.217391014099121,13.043478012084961,96843.78381347656,86832.06072998047,97022.62115478516,0,50.632911682128906,950272,8568832,33610452992,34317791232,3769692160,2895872
199,1737273627687,1599,1600,1600,1600,100,0,5.263157844543457,0,96844.41918945313,86833.66497802734,97023.08935546875,0,98.76543426513672,950272,8568832,33610452992,34317791232,3769692160,2895872
199,1737273627887,1600,1600,1600,1600,100,0,5.263157844543457,0,96845.03729248047,86835.2241821289,97023.53955078125,0,100,950272,8568832,33610452992,34317791232,3769692160,2895872
199,1737273628087,1599,1600,1600,1600,100,0,5.263157844543457,0,96845.66522216797,86836.77471923828,97023.96954345703,0,50.31446838378906,950272,8568832,33610452992,34317791232,3769692160,2895872
199,1737273628287,1600,1600,1600,1600,100,0,5.263157844543457,0,96846.28796386719,86838.36840820313,97024.4515991211,0,50.31446838378906,950272,8568832,33610452992,34317791232,3769950208,2895872
199,1737273628487,1599,1600,1600,1600,100,0,5.263157844543457,0,96846.9096069336,86839.92236328125,97024.89514160156,0,49.6894416809082,950272,8568832,33610452992,34317791232,3769950208,2895872
199,1737273628687,1600,1600,1600,1600,100,4.040403842926025,5.0505051612854,5,96847.53302001953,86841.47705078125,97025.34045410156,0,49.6894416809082,950272,8568832,33610452992,34317791232,3769950208,2895872
200,1737273628887,1599,1600,1600,1600,100,4.761904716491699,5,5,96848.15637207031,86843.04614257813,97025.79040527344,0,102.5641098022461,950272,8568832,33610452992,34317791232,3770208256,2895872
199,1737273629087,1600,1600,1600,1600,100,4.761904716491699,5,5,96848.77685546875,86844.57531738281,97026.21221923828,0,101.26582336425781,950272,8568832,33610452992,34317791232,3770208256,2895872
199,1737273629287,1599,1600,1600,1600,100,5,5.263157844543457,5,96849.40203857422,86846.13879394531,97026.65948486328,0,100,950272,8568832,33610452992,34317791232,3770208256,2895872
199,1737273629488,1600,1600,1600,1600,100,0,4.761904716491699,0,96850.0244140625,86847.68481445313,97027.09387207031,0,100,950272,8568832,33610452992,34317791232,3770208256,2895872
199,1737273629688,1600,1600,1600,1600,100,0,4.761904716491699,0,96850.64489746094,86849.21221923828,97027.51666259766,0,100,950272,8568832,33610452992,34317791232,3770208256,2895872
200,1737273629888,1599,1600,1600,1600,100,0,5,0,96851.265625,86850.7689819336,97027.95672607422,0,98.76543426513672,950272,8568832,33610452992,34317791232,3770208256,2895872
200,1737273630088,1599,1600,1600,1600,100,0,5,0,96851.8857421875,86852.2964477539,97028.38024902344,0,102.5641098022461,950272,8568832,33610452992,34317791232,3770208256,2895872
199,1737273630288,1600,1600,1600,1600,100,0,0,0,96852.51043701172,86853.83801269531,97028.81072998047,0,100,950272,8568832,33610452992,34317791232,3770208256,2895872
200,1737273630488,1600,1600,1600,1600,100,0,0,0,96853.13000488281,86855.380859375,97029.23876953125,0,100,950272,8568832,33610452992,34317791232,3770208256,2895872
199,1737273630688,1599,1600,1600,1600,100,0,10,5,96853.75866699219,86856.97778320313,97029.71075439453,0,101.26582336425781,950272,8568832,33610452992,34317791232,3770208256,2895872
199,1737273630888,1599,1600,1600,1600,100,0,10,5,96854.38006591797,86858.54907226563,97030.1572265625,0,100,950272,8568832,33610452992,34317791232,3770208256,2895872
199,1737273631088,1599,1600,1600,1600,100,5,5,5,96855.00018310547,86860.07525634766,97030.57818603516,0,100,950272,8568832,33610452992,34317791232,3770208256,2895872
200,1737273631288,1600,1600,1600,1600,100,5,4.761904716491699,0,96855.6224975586,86861.61932373047,97031.0103149414,0,100,950272,8568832,33610452992,34317791232,3770208256,2895872
199,1737273631488,1599,1600,1600,1600,100,0,5,4.761904716491699,96856.2455444336,86863.16711425781,97031.44482421875,0,98.76543426513672,950272,8568832,33610452992,34317791232,3770204160,2895872
199,1737273631688,1600,1600,1600,1600,100,5,10,5,96856.88122558594,86864.79901123047,97031.93865966797,0,101.26582336425781,950272,8568832,33610452992,34317791232,3770200064,2895872
200,1737273631889,1600,1600,1600,1600,100,5,10,5,96857.49914550781,86866.38983154297,97032.40588378906,0,98.76543426513672,950272,8568832,33610452992,34317791232,3770200064,2895872
200,1737273632089,1599,1600,1600,1600,100,5,10,5,96858.12133789063,86867.93432617188,97032.83483886719,0,50.955413818359375,950272,8568832,33610452992,34317791232,3770200064,2895872
199,1737273632289,1599,1600,1600,1600,100,5,10,5,96858.74298095703,86869.47888183594,97033.2646484375,0,100,950272,8568832,33610452992,34317791232,3770200064,2895872
199,1737273632489,1600,1600,1600,1600,100,5,10,5,96859.36749267578,86871.04034423828,97033.70190429688,0,100,950272,8568832,33610452992,34317791232,3770200064,2895872
199,1737273632689,1599,1600,1600,1600,100,5,10,5,96860.00634765625,86872.73248291016,97034.23840332031,0,96.38554382324219,950272,8568832,33610452992,34317791232,3770200064,2895872
199,1737273632889,1600,1600,1600,1600,100,5,10,5,96860.62493896484,86874.31896972656,97034.7017211914,0,96.38554382324219,950272,8568832,33610452992,34317791232,3770200064,2895872
199,1737273633089,1600,1600,1600,1600,100,5,10,5,96861.2456665039,86875.85961914063,97035.12780761719,0,50.632911682128906,950272,8568832,33610452992,34317791232,3770200064,2895872
199,1737273633289,1599,1600,1600,1600,100,5,10,5,96861.86822509766,86877.43280029297,97035.57885742188,0,96.38554382324219,950272,8568832,33610452992,34317791232,3770200064,2895872
199,1737273633489,1599,1600,1600,1600,100,5,10,5,96862.490234375,86878.97564697266,97036.0087890625,0,100,950272,8568832,33610452992,34317791232,3770200064,2895872
199,1737273633689,1600,1600,1600,1600,100,5,10,5,96863.11053466797,86880.50958251953,97036.43450927734,0,100,950272,8568832,33610452992,34317791232,3770200064,2895872
200,1737273633889,1599,1600,1600,1600,100,4.477612018585205,5.472637176513672,4.5,96863.73114013672,86882.07122802734,97036.8783569336,0,98.76543426513672,950272,8568832,33610452992,34317791232,3770200064,2895872
200,1737273634089,1599,1600,1600,1600,100,0,5,4.761904716491699,96864.35070800781,86883.60424804688,97037.30078125,0,100,950272,8568832,33610452992,34317791232,3770200064,2895872
199,1737273634290,1600,1600,1600,1600,100,5,0,31.57894515991211,96865.0150756836,86885.35382080078,97037.8872680664,0,101.26582336425781,950272,8568832,33610452992,34317791232,3786457088,2895872
199,1737273634490,1600,1600,1600,1600,100,5,5,5,96865.63995361328,86886.89776611328,97038.32092285156,0,98.76543426513672,950272,8568832,33610452992,34317791232,3786457088,2895872
200,1737273634690,1599,1600,1600,1600,100,5,5,5,96866.25750732422,86888.41436767578,97038.73852539063,0,102.5641098022461,950272,8568832,33610452992,34317791232,3786457088,2895872
199,1737273634890,1599,1600,1600,1600,100,5,5,5,96866.8822631836,86889.9907836914,97039.1884765625,0,50,950272,8568832,33610452992,34317791232,3786457088,2895872
199,1737273635090,1600,1600,1600,1600,100,5,5,5,96867.50268554688,86891.52062988281,97039.611328125,0,100,950272,8568832,33610452992,34317791232,3786457088,2895872
200,1737273635290,1599,1600,1600,1600,100,5,5,5,96868.12377929688,86893.05615234375,97040.03869628906,0,101.26582336425781,950272,8568832,33610452992,34317791232,3786457088,2895872
199,1737273635490,1600,1600,1600,1600,100,5,5,5,96868.74432373047,86894.58868408203,97040.46380615234,0,100,950272,8568832,33610452992,34317791232,3786457088,2895872
199,1737273635690,1599,1600,1600,1600,100,5,5,5,96869.39581298828,86896.2269897461,97040.93908691406,0,101.20482635498047,950272,8568832,33610452992,34317791232,3786457088,2895872
199,1737273635890,1600,1600,1600,1600,100,5,5,5,96869.99255371094,86897.72393798828,97041.3648071289,0,91.5662612915039,950272,8568832,33610452992,34317791232,3786457088,2895872
200,1737273636090,1600,1600,1600,1600,100,5,5,5,96870.61254882813,86899.25592041016,97041.78894042969,0,51.28205490112305,950272,8568832,33610452992,34317791232,3786457088,2895872
199,1737273636290,1599,1600,1600,1600,100,5,5,5,96871.23400878906,86900.78674316406,97042.21484375,0,100,950272,8568832,33610452992,34317791232,3786457088,2895872
200,1737273636491,1600,1600,1600,1600,100,5,5,5,96871.85375976563,86902.31384277344,97042.6362915039,0,100,950272,8568832,33610452992,34317791232,3786452992,2895872
199,1737273636691,1599,1600,1600,1600,100,5,5,5,96872.47845458984,86903.8705444336,97043.07598876953,0,100,950272,8568832,33610452992,34317791232,3786452992,2895872
200,1737273636891,1599,1600,1600,1600,100,5,5,5,96873.09545898438,86905.42108154297,97043.51306152344,0,100,950272,8568832,33610452992,34317791232,3786452992,2895872
199,1737273637091,1600,1600,1600,1600,100,5,5,5,96873.71496582031,86906.94854736328,97043.93463134766,0,50.31446838378906,950272,8568832,33610452992,34317791232,3786452992,2895872
199,1737273637291,1599,1600,1600,1600,100,5,5,5,96874.34246826172,86908.50927734375,97044.37823486328,0,101.26582336425781,950272,8568832,33610452992,34317791232,3786452992,2895872
199,1737273637491,1599,1600,1600,1600,100,5,5,5,96874.96545410156,86910.04974365234,97044.81036376953,0,101.26582336425781,950272,8568832,33610452992,34317791232,3786448896,2895872
200,1737273637691,1599,1600,1600,1600,100,2.51572322845459,2.8213164806365967,2.51572322845459,96875.58660888672,86911.58386230469,97045.23754882813,0,101.26582336425781,950272,8568832,33610452992,34317791232,3786448896,2895872
199,1737273637891,1600,1600,1600,1600,100,5,0,0,96876.20715332031,86913.14373779297,97045.6802368164,0,101.26582336425781,950272,8568832,33610452992,34317791232,3786448896,2895872
200,1737273638091,1600,1600,1600,1600,100,0,0,0,96876.82653808594,86914.66424560547,97046.09783935547,0,100,950272,8568832,33610452992,34317791232,3786448896,2895872
200,1737273638291,1599,1600,1600,1600,100,4.761904716491699,5,5,96877.44708251953,86916.19274902344,97046.52081298828,0,100,950272,8568832,33610452992,34317791232,3786448896,2895872
200,1737273638491,1600,1600,1600,1600,100,0,4.761904716491699,0,96878.06640625,86917.71398925781,97046.9398803711,0,101.26582336425781,950272,8568832,33610452992,34317791232,3786448896,2895872
200,1737273638691,1599,1600,1600,1600,100,0,4.761904716491699,0,96878.6865234375,86919.25109863281,97047.36901855469,0,101.26582336425781,950272,8568832,33610452992,34317791232,3786448896,2895872
200,1737273638892,1600,1600,1600,1600,100,0,0,5,96879.30645751953,86920.83135986328,97047.81884765625,0,100,950272,8568832,33610452992,34317791232,3786448896,2895872
200,1737273639092,1599,1600,1600,1600,100,9.523809432983398,0,5,96879.92547607422,86922.3726196289,97048.24444580078,0,100,950272,8568832,33610452992,34317791232,3786448896,2895872
199,1737273639292,1599,1600,1600,1600,100,0,5,0,96880.54583740234,86923.92370605469,97048.67669677734,0,100,950272,8568832,33610452992,34317791232,3786448896,2895872
200,1737273639492,1600,1600,1600,1600,100,5,0,4.761904716491699,96881.16870117188,86925.47766113281,97049.10345458984,0,101.26582336425781,950272,8568832,33610452992,34317791232,3786448896,2895872
199,1737273639692,1599,1600,1600,1600,100,4.761904716491699,0,0,96881.7885131836,86927.02136230469,97049.54125976563,0,100,950272,8568832,33610452992,34317791232,3786448896,2895872
199,1737273639892,1600,1600,1600,1600,100,0,5,5,96882.40954589844,86928.60815429688,97049.9945678711,0,100,950272,8568832,33610452992,34317791232,3786448896,2895872
199,1737273640092,1599,1600,1600,1600,100,4.761904716491699,0,4.761904716491699,96883.02905273438,86930.1567993164,97050.42517089844,0,101.26582336425781,950272,8568832,33610452992,34317791232,3786448896,2895872
199,1737273640292,1599,1600,1600,1600,100,0,0,0,96883.6488647461,86931.69854736328,97050.85217285156,0,100,950272,8568832,33610452992,34317791232,3786448896,2895872
200,1737273640492,1600,1600,1600,1600,100,0,0,4.761904716491699,96884.28698730469,86933.28326416016,97051.28997802734,0,104.99999237060547,950272,8568832,33610452992,34317791232,3786448896,2895872
200,1737273640692,1599,1600,1600,1600,100,0,0,4.761904716491699,96884.88745117188,86934.76599121094,97051.70037841797,0,93.82715606689453,950272,8568832,33610452992,34317791232,3786448896,2895872
199,1737273640892,1600,1600,1600,1600,100,0,0,4.761904716491699,96885.51513671875,86936.38879394531,97052.18432617188,0,50.955413818359375,950272,8568832,33610452992,34317791232,3786448896,2895872
199,1737273641092,1599,1600,1600,1600,100,0,0,4.761904716491699,96886.13537597656,86937.91809082031,97052.6058959961,0,100,950272,8568832,33610452992,34317791232,3786444800,2895872
199,1737273641293,1600,1600,1600,1600,100,0,0,4.761904716491699,96886.75653076172,86939.45013427734,97053.03100585938,0,100,950272,8568832,33610452992,34317791232,3786444800,2895872
199,1737273641493,1600,1600,1600,1600,100,0,5,5,96887.376953125,86940.98022460938,97053.45520019531,0,101.26582336425781,950272,8568832,33610452992,34317791232,3786444800,2895872
