Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1736752281331,1396,1400,1399,1399,1399,1400,1400,1399,1399,1399,1400,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,24212.839904785156,30814.636474609375,162.578125,0,2359296,141594624,33210380288,8589930496,1252036608,0
199,1736752281332,1463,1493,1400,1400,1476,1472,1400,1345,1347,1347,1399,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,24212.86328125,30814.649658203125,162.578125,0,2359296,141594624,33210380288,8589930496,1252212736,0
200,1736752281532,2100,1991,1260,1191,1982,400,1374,1434,1498,1429,1178,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,24214.47491455078,30815.44952392578,162.578125,0,2359296,141594624,33210380288,8589930496,1288798208,0
200,1736752281732,2100,1976,1428,1414,1965,1887,1499,1500,1500,1500,923,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,24216.061157226563,30816.246520996094,162.578125,0,2359296,141594624,33210380288,8589930496,1290960896,0
199,1736752281932,2100,2100,400,400,1820,1872,400,1354,400,992,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,24217.621459960938,30817.02215576172,162.578125,0,2359296,141594624,33210380288,8589930496,1361629184,0
200,1736752282132,2100,2097,1382,1424,2099,2099,1472,1441,1499,1439,1420,1372,100,10,0,0,5,0,0,0,0,0,0,0,0,24219.208374023438,30817.798767089844,162.578125,0,2359296,141594624,33210380288,8589930496,1460203520,0
200,1736752282332,2100,2019,1500,1428,2072,2019,1442,1445,1499,1424,1439,1441,100,5.555555820465088,0,0,0,0,4.761904716491699,0,0,0,0,0,0,24220.775329589844,30818.565856933594,162.578125,0,2359296,141594624,33210380288,8589930496,1563963392,0
200,1736752282532,2100,1529,1232,1036,833,1632,1473,953,400,1453,1259,1194,100,0,0,0,0,5,0,0,0,0,0,0,0,24222.32745361328,30819.256713867188,162.578125,0,2359296,141594624,33210380288,8589930496,1697447936,0
200,1736752282733,2100,490,400,400,798,2099,1325,1278,1272,1366,660,627,100,0,0,0,0,0,0,0,0,0,0,0,0,24223.84796142578,30819.88983154297,162.578125,0,2359296,141594624,33210380288,8589930496,1842987008,0
199,1736752282933,2100,1846,1396,1396,1901,2099,1440,1500,1442,1500,1340,1339,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24225.40692138672,30820.543334960938,162.578125,0,2359296,141594624,33210380288,8589930496,1964527616,0
200,1736752283133,2100,2044,1359,1444,1889,1955,1459,1350,1460,1348,1424,1411,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24226.838256835938,30821.23028564453,162.578125,0,2359296,141594624,33210380288,8589930496,1964527616,0
200,1736752283333,2100,2033,1419,1432,1931,1890,1315,1323,1282,1330,1364,1424,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24228.282653808594,30821.925720214844,162.578125,0,2359296,141594624,33210380288,8589930496,1956294656,0
200,1736752283533,2100,1818,1382,1423,1558,1873,1367,1393,1436,1326,400,1200,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24229.729370117188,30822.621337890625,162.578125,0,2359296,141594624,33210380288,8589930496,1956294656,0
200,1736752283733,2100,1114,1005,1077,1717,1762,740,751,781,729,1201,1135,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24231.188537597656,30823.32928466797,162.578125,0,2359296,141594624,33210380288,8589930496,1956294656,0
200,1736752283933,2100,1028,400,400,400,922,1408,1415,400,400,1392,400,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24232.62384033203,30824.018310546875,162.578125,0,2359296,141594624,33210380288,8589930496,1956294656,0
200,1736752284134,2100,2036,1463,1473,1987,1909,1499,1356,1430,1471,1399,1495,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24234.06134033203,30824.709716796875,162.578125,0,2359296,141594624,33210380288,8589930496,1956294656,0
200,1736752284334,2100,2028,1500,1462,1866,1905,1454,1407,1436,1463,1373,1454,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24235.5029296875,30825.403259277344,162.578125,0,2359296,141594624,33210380288,8589930496,1946243072,0
200,1736752284534,2100,1913,1302,1432,1594,1907,1456,1451,1365,1358,400,1298,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24236.94158935547,30826.096740722656,162.578125,0,2359296,141594624,33210380288,8589930496,1946198016,0
200,1736752284734,2100,1833,1334,1395,1562,1837,1184,1375,1213,1292,1150,1395,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24238.387939453125,30826.7939453125,162.578125,0,2359296,141594624,33210380288,8589930496,1946198016,0
200,1736752284934,2100,2100,1470,1477,1991,1913,1430,1450,1421,1457,400,1434,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24239.839721679688,30827.496948242188,162.578125,0,2359296,141594624,33210380288,8589930496,1946198016,0
200,1736752285134,2100,1732,1480,1486,2004,1941,1451,1409,1402,1451,1426,1474,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24241.27960205078,30828.191345214844,162.578125,0,2359296,141594624,33210380288,8589930496,1946198016,0
199,1736752285335,2100,2024,1319,1432,1874,1966,1467,1412,1334,1500,1389,1365,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24242.716064453125,30828.881958007813,162.578125,0,2359296,141594624,33210380288,8589930496,1934651392,0
200,1736752285535,2100,1843,805,400,773,1463,1460,1451,1452,1432,1300,400,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24244.165100097656,30829.576538085938,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1934397440,0
200,1736752285735,2100,1652,1335,1407,1771,1833,1356,1434,1445,1389,1191,1219,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24245.61297607422,30830.271240234375,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1934397440,0
200,1736752285935,2100,752,400,400,1776,1416,1257,1370,1370,400,400,400,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24247.061279296875,30830.96612548828,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1934397440,0
200,1736752286135,2100,1221,1022,1152,1727,1661,814,610,632,619,861,1026,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24248.510375976563,30831.660888671875,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1934397440,0
200,1736752286335,2100,1908,1287,1357,1972,1964,1447,1500,1499,1398,1316,1376,100,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,24249.967651367188,30832.36444091797,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1923149824,0
200,1736752286535,2100,2003,1450,1453,2027,1990,1443,1423,1461,1476,1408,1443,100,0.8498584032058716,0.5555555820465088,0.5555555820465088,0.2793295979499817,0.5555555820465088,0.5555555820465088,0.8310248851776123,0.5555555820465088,0.8310248851776123,0.27855151891708374,0.5555555820465088,0,24251.427673339844,30833.06317138672,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1923031040,0
200,1736752286736,2100,2035,1332,1370,1978,2100,1256,1314,1393,1344,1285,1350,100,0.8498584032058716,0.5555555820465088,0.5555555820465088,0.2793295979499817,0.5555555820465088,0.5555555820465088,0.8310248851776123,0.5555555820465088,0.8310248851776123,0.27855151891708374,0.5555555820465088,0,24252.880615234375,30833.74462890625,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1923031040,0
199,1736752286936,2100,1869,1403,1409,1943,1921,1389,1358,1398,1354,400,1329,100,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,24254.32110595703,30834.449157714844,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1923031040,0
200,1736752287136,2100,2066,1461,1416,2100,2100,1452,1500,1478,1499,400,1331,100,0,0,0,0,0,0,0,0,0,0,0,0,24255.77960205078,30835.151794433594,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1923031040,0
200,1736752287336,2100,1521,1258,1265,1496,1710,1373,1411,1381,1351,1172,1390,100,0,0,0,0,0,0,0,0,0,0,0,0,24257.223083496094,30835.840454101563,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1912082432,0
200,1736752287536,2100,2008,1391,1452,2100,2100,998,1500,1500,1499,1381,1375,100,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,24258.67889404297,30836.53515625,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1912057856,0
200,1736752287737,2100,2040,1466,1470,1915,1919,1478,1475,1475,1500,1452,1464,100,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,24260.137756347656,30837.221557617188,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1912057856,0
200,1736752287937,2100,2100,1414,1428,1951,1982,1388,1377,1387,1380,1391,1429,100,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,24261.57061767578,30837.916564941406,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1912057856,0
200,1736752288137,2099,1902,1425,1432,1831,1962,1386,1399,1455,1459,400,1419,100,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,24263.034423828125,30838.620056152344,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1912057856,0
200,1736752288337,2100,1718,1410,1438,1806,1886,400,1264,1435,1306,1411,1427,100,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,24264.478393554688,30839.30926513672,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1901961216,0
200,1736752288537,2099,1967,1481,1500,1690,1960,1454,1454,1473,1453,1500,1499,100,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,24265.943969726563,30840.01397705078,162.5787353515625,0,2359296,141594624,33210380288,8589930496,1901678592,0
