Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1736556429554,1600,1600,1600,1600,0,0,0,0,129380.1537475586,159265.4248046875,35333.637939453125,0,0,1007616,8568832,33610452992,34317791232,1207848960,0
200,1736556429554,1600,1600,1600,1600,0,0,0,0,129380.17291259766,159265.4962158203,35333.67578125,0,0,1007616,8568832,33610452992,34317791232,1206722560,0
199,1736556429754,1600,1600,1600,1600,0,0,0,0,129380.88098144531,159267.31439208984,35334.312744140625,0,0,1007616,8568832,33610452992,34317791232,1202892800,0
200,1736556429954,1600,1600,1600,1600,0,0,0,0,129381.49963378906,159268.8260498047,35334.726989746094,0,0,1007616,8568832,33610452992,34317791232,1202892800,0
200,1736556430155,1599,1600,1600,1600,0,0,0,0,129382.11798095703,159270.3321533203,35335.138122558594,0,0,1007616,8568832,33610452992,34317791232,1202892800,0
199,1736556430355,1599,1600,1600,1600,0,0,0,0,129382.74377441406,159271.8989868164,35335.591735839844,0,0,1007616,8568832,33610452992,34317791232,1201602560,0
199,1736556430555,1600,1600,1600,1600,0,0,0,0,129383.36755371094,159273.45281982422,35336.0361328125,0,0,1007616,8568832,33610452992,34317791232,1201537024,0
199,1736556430755,1599,1600,1600,1600,0,0,0,0,129383.9868774414,159274.9638671875,35336.450439453125,0,0,1007616,8568832,33610452992,34317791232,1201537024,0
200,1736556430955,1600,1600,1600,1600,0,0,0,0,129384.60498046875,159276.47149658203,35336.8642578125,0,0,1007616,8568832,33610452992,34317791232,1201537024,0
200,1736556431155,1600,1600,1600,1600,0,0,0,0,129385.22326660156,159277.97918701172,35337.27551269531,0,0,1007616,8568832,33610452992,34317791232,1201537024,0
200,1736556431355,1600,1600,1600,1600,0,0,0,0,129385.8413696289,159279.48956298828,35337.688720703125,0,0,1007616,8568832,33610452992,34317791232,1201537024,0
200,1736556431555,1599,1600,1600,1600,0,0,0,0,129386.45947265625,159280.99871826172,35338.10144042969,0,0,1007616,8568832,33610452992,34317791232,1201537024,0
